歌曲id,歌曲频率,歌曲名字,歌手id
487003829,27.0,탓,905250
1374787337,14.0,Nomo,28420071
1443838552,23.0,他只是经过,12631485
480426212,41.0,A.O.M.G.,124303
545350365,13.0,나타나줘,124303
1318571230,14.0,很高兴认识你,11257
1440429367,8.0,环球小姐,12333145
1462875618,3.0,不怪她,12200029
520588146,19.0,The Way You Move,12079186
420386024,15.0,Without You(DZ&amp;PS￥.P)[Prod.Breezy],12002201
1478435236,4.0,春夏秋冬 A Balloon's Journey,6457
1390469652,7.0,画（prod.by LORIN),13027202
1424460791,5.0,口罩,1132392
34084717,13.0,Jealous Love,97907
1294924894,22.0,WOW,12204436
482056804,20.0,高，还没富，但帅,1086078
1338210163,4.0,Playinwitme (Remix),190323
1356073625,3.0,met at a party,28900371
1428243603,3.0,她和她和她,12798895
1426022019,6.0,阿姆斯特丹 (feat.KnowKnow),1132392
516657177,24.0,Young Bridge,12493701
1349946492,2.0,Way Back Into Love (Demo Version),27924850
1444606082,6.0,Say So,911131
1409329965,5.0,Manta,1124151
445703269,12.0,7 Years,38797
34144942,144.0,Gasoline,964321
1411990343,11.0,K.O.,12236269
1298655068,8.0,“End of the world”,12236269
1393207685,6.0,随风所欲,12193780
22842400,7.0,개리와 기리... 세번째 이야기,127089
1322041120,28.0,rain（prod.bycon，feat snow）,13149356
29394065,20.0,Couch Potato,896137
1293953338,8.0,History,15022053
565258282,19.0,Nice Colors,12176301
29732222,27.0,Skyfall ,369585
22842404,13.0,TV를 껐네...,127089
480427206,40.0,입버릇처럼,124303
1452439191,7.0,在一起嘛好不好,4292
1346758809,13.0,Can I Love ?,13974098
1309814798,14.0,유재석,13776155
509726986,34.0,Jasmine,12121368
1444140174,9.0,成都集团2020cypher (Prod. by HARIKIRI),35005076
499275438,99.0,"Alright, Summer time",124303
1394169451,4.0,사람,160347
1344644764,3.0,HOW,124303
1344644763,5.0,Some Beatmaker,124303
492151515,28.0,나를 불러,1180172
513766962,30.0,거울,11984047
1302132087,13.0,BLESS,1047400
1436940469,3.0,춤,1047400
571545708,11.0,그대들은 어떤 기분이신가요,13776155
1407432683,12.0,아마두,125049
1436940462,4.0,꽃 (flower),1047400
1436940464,4.0,F(ucked up) ,1047400
1436940466,4.0,JOKE! ,1047400
573168440,17.0,정진철,124684
1323303423,13.0,소년점프,30618331
1426022020,6.0,成都,1132392
511922690,29.0,잘(I'm fine),123616
5329196,21.0,여섯시 반,124684
33166802,34.0,RESPECT ,124303
26167184,20.0,좋아 (JOAH),124542
22835427,15.0,Girl Friend,124542
557158189,15.0,뒤집어버려,124542
1296355215,20.0,Me No Jay Park,124684
277260,50.0,真的吗,8926
1403215687,7.0,想见你想见你想见你,11109
157276,43.0,Last Dance,222871
1337334807,20.0,Salute,30713096
1297750633,4.0,Can't be the one (prod by Kaytranada),1132392
1352565652,3.0,Super Saiyan Broly (Prod.By Blasian),1132392
567550834,28.0,满舒克/ JonyJ - LOST（Cai remix）,12280419
1299563494,7.0,Old Friend(prod. by Eddie Beatz),1132392
385973,133.0,恋爱ing,13193
1336856498,52.0,我想part2,865007
34828971,15.0,바람이나 좀 쐐,869001
1408941731,5.0,R&amp;B All Night,27868624
862099084,11.0,Legends,13581233
33684399,115.0,Reset,126600
33894142,7.0,成都Rappers,1132392
1398991661,10.0,Bu Zhi Dao,12087155
1402845091,2.0,你想去哪里我都陪你 (Jerry Sprunger Remix),1132392
1396208034,21.0,谈恋爱前不如先养猫,1050282
5346651,43.0,복숭아,160947
1396162013,9.0,I Love You 3000 II,15022053
1396163566,9.0,Tequila Sunrise (feat. AUGUST 08 &amp; GoldLink),15022053
1355292203,4.0,上学威龙,865007
1392729443,4.0,좋아,1022077
1294924518,11.0,당 디기 방,159554
1392729442,4.0,이제 나와라 고백,1021274
1807794,15.0,Enchanted,40859
300055,244.0,你快乐(所以我快乐),9621
470601889,35.0,Sign of the Times,12355573
536622304,138.0,Lemon,159300
22843074,16.0,다시 내게로 돌아와,123748
29023926,32.0,자전거,126191
28593407,28.0,사람냄새,126191
4873540,670.0,你(吉他甜蜜版),8335
410802485,26.0,Say Yes,1080132
3986017,59.0,Viva La Vida,89365
1383954630,14.0,Hey KONG,12788674
4875084,685.0,恶作剧,9774
1309833126,7.0,粉色苏打,12204436
18611511,9.0,Geek in the Pink,35332
448749148,18.0,Pink Champagne,12249046
1317410545,7.0,Don't Diss,13899303
1380070418,13.0,兔八哥,13899303
1352818807,12.0,加冕,13899303
26087362,38.0,Spot,711138
1377131180,10.0,给未来,12602151
1297165862,26.0,吹又生,13899303
139760,20.0,谁是MVP,4723
4875075,710.0,遇到,203162
4875080,703.0,能不能,28085561
4875074,694.0,Say U Love Me,12438
1368707835,3.0,Could I Love You Any More,30726931
4875079,689.0,靠近一点点,8677
461308843,14.0,跳跳蛙,11257
445154882,14.0,三千里,11257
562118482,29.0,庆功酒(Jungle Juice),1199064
1320100120,23.0,飞行随笔(Airplane Freestyle),1199064
485233398,131.0,二人赚,12204436
26524701,28.0,My Heart Will Go On,188141
1358953021,7.0,中产小孩,12798217
1340914733,24.0,此时此刻,12127507
1340535891,10.0,Kill The Game,12127507
1369890464,9.0,梦中人 DREAM_MMM,12287730
405253317,18.0,Colorful World,12001060
1345823867,32.0,深情 或 愚昧,12157298
26550647,34.0,天亮前出发,188141
525238797,17.0,REFRESH,1132392
1359099257,2.0,Crush On You (Remix),1132392
28784206,26.0,DAY LOVE NIGHT,208391
26608514,46.0,当我想起你 (Live),8687
546279760,28.0,目不转睛,12236125
21301195,43.0,Battles and Wastelands,97892
5053289,48.0,You Belong To Me,36662
29343376,52.0,这些年来,6457
514761281,99.0,白羊,1197168
18611546,24.0,Life Is Wonderful (Live in Amsterdam),35332
28786718,14.0,Out Of My Hands,35332
569214247,103.0,平凡的一天,12138269
386844,28.0,杀死那个石家庄人,13223
1367183681,5.0,千禧,32244736
18794225,29.0,Who You Are,62662
1364137053,12.0,I Don't Care,33184
544000523,17.0,都行,847107
29819852,698.0,Micphone Check,847107
1362247767,18.0,别叫我达芬奇,12493781
543988605,24.0,母老虎,1086078
1309823003,8.0,个人简介 Pt.2,12204436
526464145,81.0,喜欢,7122
514765154,20.0,世界上的另一个我,7122
108390,155.0,说谎,3685
1347297663,13.0,Diamond,12002201
33887808,45.0,사이먼 도미닉,124684
28830159,16.0,我们恋爱吧,11257
490595927,21.0,不用去猜,784257
480579331,18.0,Isabellae,12002201
34228719,49.0,What Do You Mean?,35531
1315718569,15.0,有一种悲伤,7063
1339962729,26.0,变成你的手机 Feat.阿将,13527193
29722434,668.0,背你妈的时,1199157
27914566,5.0,If I Didn't Have You (Bernadette's Song - From the Big Bang Theory) [MusiCares® Version],416818
1345681867,17.0,Dumb Blonde (feat. Nicki Minaj),46490
4340758,26.0,Falling Slowly,34134
31260606,14.0,我与自己(feat.讲者),784257
864647456,15.0,Lover Boy 88,12002201
1317410848,68.0,采访,865007
26165023,148.0,Last Christmas,84057
454954048,65.0,需要保密的情话,12204436
1294889961,26.0,FreeNight Freestyle (Bonus Track),12204436
573843002,35.0,买条街,12782871
432698786,3.0,Anchor,12132339
2786253,5.0,Doesn't Get Better Than This,61047
21301196,41.0,Cold November,97892
4380586,16.0,Summer Love,102834
480583051,22.0,Find Yourself,905068
4380582,19.0,Love In A Box,102834
29482234,34.0,Maps,69270
26233523,60.0,Wherever You Go,85576
27893560,13.0,Love Life,39854
21224498,9.0,Pack up Your Troubles in Your Old Kit Bag,97176
509531459,248.0,Chaperone,94043
507795651,31.0,Steady Me,12080054
28240769,16.0,Girls Chase Boys,60351
548103691,8.0,Pray,740216
1296583188,83.0,星球坠落 (Live),1203045
18938931,17.0,Homesick,37517
31445772,152.0,理想三旬,1058228
19274539,16.0,In Between The Lines,44358
26492802,43.0,Can't Complain,41943
5042924,50.0,"Flightless Bird, American Mouth",178125
28592013,23.0,Slippin',938031
28493991,34.0,You Can Trust In Me,94115
30569536,6.0,Blank Space Style (feat. Devin Dawson),1050119
567145047,148.0,Fallin' All In You,956238
487003745,15.0,Between the Stars,12474881
5133273,141.0,Yellow,60922
36019737,11.0,Keep Rolling On,38657
29743191,26.0,Time of Our Lives,41143
21971060,19.0,Never Grow Old,101982
28442976,15.0,Too Far,48012
437802479,19.0,The Story Never Ends (Piano Version),1057226
482395086,13.0,Places We Won't Walk,12250109
5046367,47.0,Way Back Into Love (Demo),34911
498331912,16.0,Cologne,1078427
567145055,141.0,When You're Ready,956238
406475394,40.0,Wonderful U (Demo Version),768208
1313070706,17.0,Lost In Japan (Remix),956238
863489895,8.0,cant help falling in love cover,13080348
431811455,12.0,I Will Follow You,12132033
567145044,145.0,Lost In Japan,956238
2411634,28.0,A Thousand Years,52979
530986903,6.0,lucky one,13080348
2485441,5.0,My Prayer,54278
17416991,37.0,Narrow Daylight,53238
2001320,107.0,Valder Fields,0
516358164,389.0,Mystery of Love,42955
34383213,22.0,FOOLS,45129
4237554,7.0,Puff (The Magic Dragon),98546
414118331,15.0,Where's My Love,12048173
4220378,16.0,Honest Songs,97907
5050338,34.0,An Ocean Apart,60939
451703096,120.0,Shape of You,33184
460043703,65.0,Perfect,33184
460043704,55.0,Galway Girl,33184
28680438,118.0,Thinking Out Loud,33184
28692519,40.0,Photograph,33184
29422008,18.0,I See Fire (Kygo Remix),844410
521417778,38.0,Perfect Duet (with Beyoncé),33184
460298206,48.0,Nancy Mulligan,33184
460043710,49.0,Supermarket Flowers,33184
460043708,53.0,What Do I Know?,33184
28665554,117.0,Don't,33184
460043705,48.0,Happier,33184
460043701,46.0,Dive,33184
458697799,13.0,Shape Of You (Galantis Remix),33184
451701104,18.0,Castle on the Hill,33184
30967328,9.0,Ellie,1051010
28566204,154.0,All of the Stars,33184
460043706,47.0,New Man,33184
28315789,11.0,Be My Forever,52979
524003199,37.0,Perfect Symphony,33184
460043709,50.0,How Would You Feel (Paean),33184
34852287,33.0,Lay It All On Me,42870
28668238,36.0,Bloodstream,33184
32408068,17.0,I See Cali ,844410
28401218,27.0,Sing,33184
28953952,150.0,Kiss Me,33184
460043699,44.0,Eraser,33184
31745165,16.0,U.N.I.,33184
460112987,48.0,Save Myself,33184
28692521,33.0,Runaway,33184
28692520,33.0,Tenerife Sea,33184
460112985,48.0,Barcelona,33184
17566009,20.0,The A Team,33184
28692518,35.0,Nina,33184
460112986,52.0,Bibia Be Ye Ye,33184
17565996,22.0,Lego House,33184
460043707,48.0,Hearts Don't Break Around Here,33184
28557136,32.0,One,33184
34077711,28.0,Dark Times,185858
28692522,34.0,Afire Love,33184
28692516,33.0,I'm a Mess,33184
35040778,8.0,In My Life (The Beatles Tribute),33184
517713287,25.0,Boa Me,837732
31645330,19.0,Rewind Repeat It,780003
27853131,13.0,Old School Love,38132
31209061,16.0,I Will Take You Home,33184
17565999,27.0,Give Me Love,33184
3716423,9.0,Conversation,81222
1298655068,8.0,“End of the world”,12236269
1487528112,3.0,经济舱 (Live),12024274
1318571230,14.0,很高兴认识你,11257
1405120920,4.0,시발점 Remix,33046464
1440429367,8.0,环球小姐,12333145
1411990343,11.0,K.O.,12236269
1462875618,3.0,不怪她,12200029
1460966070,4.0,Love In My Pocket,12024301
1344644763,5.0,Some Beatmaker,124303
1336796065,8.0,No Place,88148
864647456,15.0,Lover Boy 88,12002201
1383954630,14.0,Hey KONG,12788674
28784206,26.0,DAY LOVE NIGHT,208391
1359099257,2.0,Crush On You (Remix),1132392
1347297663,13.0,Diamond,12002201
1345823867,32.0,深情 或 愚昧,12157298
480579331,18.0,Isabellae,12002201
33894142,7.0,成都Rappers,1132392
1309833126,7.0,粉色苏打,12204436
29722434,668.0,背你妈的时,1199157
108390,155.0,说谎,3685
1353372483,10.0,别让我走远,3685
562594267,86.0,成全,3685
432509483,28.0,全世界谁倾听你 ,3685
108179,148.0,浪费,3685
108224,25.0,突然想起你(Live),3685
417833029,133.0,天真有邪,3685
108557,139.0,残酷月光,3685
108194,148.0,傻子,3685
108393,145.0,心酸,3685
108281,141.0,想自由,3685
350651,197.0,我爱的人,3685
108539,135.0,神秘嘉宾,3685
5247677,705.0,背影,3685
417250911,135.0,我梦见你梦见我,3685
350616,176.0,你是我的眼,3685
1294910319,14.0,脆弱一分钟,3685
108284,142.0,我总是一个人在练习一个人,3685
479408180,31.0,船,3685
108411,138.0,感同身受,3685
417250909,136.0,我已经敢想你,3685
108571,128.0,再别康桥,3685
862098927,15.0,致姗姗来迟的你 (Live),3685
108291,138.0,拥有,3685
417250913,132.0,勿忘你,3685
108191,144.0,勉强幸福,3685
108567,127.0,心有林夕,3685
108536,139.0,眼色,3685
862102137,17.0,推动摇篮的手,3685
108273,146.0,美妙生活,3685
108182,150.0,诱,3685
34614324,696.0,突然好想你(Live),3685
108277,145.0,自然醒,3685
108170,157.0,思凡,3685
417250908,137.0,坏与更坏,3685
442898703,28.0,长大的童话,3685
26608581,272.0,离开地球表面 (Live),3685
436016777,76.0,兜圈,3685
417833031,130.0,一点点,3685
108294,139.0,早开的晚霞,3685
428095030,44.0,天将明,3685
296894,91.0,给小孩,9548
34179838,45.0,如同悲伤被下载了两次 ,7216
25850223,158.0,我只在乎你,3685
5240868,669.0,吻得太逼真/酷爱(Live),2117
1297750771,16.0,火焰小溪,3685
417833028,139.0,让世界毁灭,3685
417250910,131.0,飞,3685
108545,130.0,伯乐,3685
108382,135.0,耳朵,3685
1352801247,7.0,I Really Mean It Freestyle (Prod By Just Blaze),1132392
525238797,17.0,REFRESH,1132392
1352565652,3.0,Super Saiyan Broly (Prod.By Blasian),1132392
480579337,19.0,711,12002201
1299563494,7.0,Old Friend(prod. by Eddie Beatz),1132392
1352800684,8.0,Ape (Prod. By Blasian Beats),1132392
553814079,12.0,功成名就 Feat. Masiwei,1086078
1296685183,13.0,Slide,1132392
1352801249,6.0,Overseas Freestyle (Prod. By Nilson Edgardo On Da Track),1132392
1352800687,6.0,Blue (Prod. By Tantu),1132392
1352800685,6.0,不爱你了 (Prod. By Snapz),1132392
1297750633,4.0,Can't be the one (prod by Kaytranada),1132392
1352800686,6.0,Young Prince (Prod. By Masked Man),1132392
1352801251,6.0,You Don’t Know (Prod By Snapz),1132392
1352801248,6.0,我不再担心 (Prod. By Snapz),1132392
33894141,4.0,intro冷板凳,1132392
33894142,7.0,成都Rappers,1132392
864088893,16.0,A Girl Needs Love(Feat.马思唯),12078093
1352801256,6.0,赚更多 (Prod. By Lex Luger),1132392
1352800683,7.0,My Style (Prod. By Harikiri),1132392
1352801250,6.0,Small Chainz (Prod. By Kino Beats),1132392
1337334807,20.0,Salute,30713096
1310570385,17.0,BAPESTA(Prod.Izak),12022040
33894143,6.0,追求,1132392
470774651,12.0,Tom And Jerry(Prod.KRVZE),12078093
1322247566,10.0,办得到(feat.马思唯）,12345081
496107851,20.0,说句实话,12079066
565419800,32.0,Don't Turn Around,12184568
553815236,17.0,两个人的沙漠,12079066
536623272,13.0,Venus,12079066
571832692,15.0,暴雨,1197027
1311346765,12.0,戏精急诊室(ft.Lil Jet),12109219
1356540294,5.0,暴雨II,12079066
1305366486,13.0,我真的没想好,12079066
1356537438,4.0,随意点（Intro）,12079066
462369606,8.0,自我介绍（Prod.Lil.Jet）,12079066
1336871720,13.0,陷阱历险记,12079066
1356537436,5.0,梦,12079066
1321385072,68.0,未来（feat.Lil.Jet）,865007
533869483,41.0,No Matter Where（Prod.by S.O）,1124093
493959115,16.0,鹰feat.Yee,12079066
553813235,17.0,坏孩子,12079066
1334297177,10.0,庇护所,12079066
476053197,13.0,JET式病毒,12079066
478953517,24.0,重混香奈儿 (ft. Lil Jet) (Chanel Remix),12003155
498157907,17.0,飞碟ft.Lil Jet(Stay With You Remix Prod.By Cheat Codes&amp;Cade),12092433
450562488,10.0,桌球棋牌Feat.Buzzy/Ms.CANG,12079066
1336864690,11.0,王子,12079066
1356540295,5.0,不停转,12079066
553812264,19.0,Jet school,12079066
1323303769,11.0,0755,12079066
1323304807,11.0,守财奴,12079066
463760444,7.0,Bounce Back（Prod.牧羊少年）,12079066
1306496183,8.0,아무도 없을 때,12259460
423058211,9.0,暴雨Hook,12079066
440796107,11.0,暴雨Remix,12094558
533613721,27.0,Money Money,794338
864300067,27.0,雨天,12226134
524040072,22.0,大麻烦,12256394
490000703,12.0,Stupid (feat. Lil.Jet),12427049
1333465289,18.0,谁能动我,13700006
450563128,8.0,桌球棋牌HOOK,12079066
571497245,13.0,NO WAY( Feat. Lil Jet ),12415043
